modelcode,modelname,modelvariant,modelfamilycode,modelinfo,isenabled,createdat,createdby,updatedat,updatedby,modeldisplayname
treoyaari_hrt,Treo Yaari,HRT,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_yaari.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-yaari/treo-yaari-2025.pdf"",""brochurespecs"":{""range"":""85"",""battery_capacity"":""3.685"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:12.888Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:50:54.043Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo Yaari
zor_default,Zor,default,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_zor.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/zor/zor-2025.pdf"",""brochurespecs"":{""range"":""80"",""battery_capacity"":""7.37"",""co2_emission_factor"":""131.61""}}",,"""2025-06-25T12:04:13.213Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-27T15:02:23.460Z""",37278e24-eab2-40bf-b552-85077d5ad9bb,Treo Zor
treo_v1,Treo,V1,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf"",""brochurespecs"":{""range"":""110"",""battery_capacity"":""7.37"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:10.952Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:45:16.663Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo
treo2.0_default,Treo2.0,default,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf"",""brochurespecs"":{""range"":""110"",""battery_capacity"":""7.37"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:11.010Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:45:24.144Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo
treo2.0_dv,Treo2.0,dv,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_zor_dv.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf"",""brochurespecs"":{""range"":""110"",""battery_capacity"":""7.37"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:11.112Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:45:29.624Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo
treo_hrt,Treo,hrt,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf"",""brochurespecs"":{""range"":""110"",""battery_capacity"":""7.37"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:10.694Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:45:04.509Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo
treo2.0_fb,Treo2.0,FB,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_zor_fb.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf"",""brochurespecs"":{""range"":""110"",""battery_capacity"":""7.37"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:11.243Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:46:42.303Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo
treoplus_sft,Treo Plus,SFT,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf"",""brochurespecs"":{""range"":""150"",""battery_capacity"":""10.24"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:12.631Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:49:49.195Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo Plus
treoplus_sftsm,Treo Plus,SFT SM,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf"",""brochurespecs"":{""range"":""150"",""battery_capacity"":""10.24"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:12.698Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:49:55.174Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo Plus
zeo_default,Zeo,default,zeo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/zeo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/zeo.png"",""modelmanual"":"""",""brochurespecs"":{""range"":""232"",""battery_capacity"":""21.3"",""co2_emission_factor"":""129""}}",,"""2025-06-25T12:04:10.057Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:41:20.407Z""",e2500964-be53-4d5f-964c-c05804593f91,Mahindra Zeo
