modelcode,modelname,modelvariant,modelfamilycode,modelinfo,isenabled,createdat,createdby,updatedat,updatedby,modeldisplayname
treo2.0_sft,Treo2.0,SFT,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf"",""brochurespecs"":{""range"":""110"",""battery_capacity"":""7.37"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:11.547Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:47:26.900Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo
treo2.0_sftsm,Treo2.0,SFT SM,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf"",""brochurespecs"":{""range"":""110"",""battery_capacity"":""7.37"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:11.619Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:47:32.680Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo
treo2.0_t20,Treo2.0,T20,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_zor.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf"",""brochurespecs"":{""range"":""110"",""battery_capacity"":""7.37"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:11.739Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:47:40.589Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo
treoplus_default,Treo Plus,default,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf"",""brochurespecs"":{""range"":""150"",""battery_capacity"":""10.24"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:12.496Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:49:32.358Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo Plus
treoplus_hrt,Treo Plus,HRT,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_plus.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-plus/treo-plus-2025.pdf"",""brochurespecs"":{""range"":""150"",""battery_capacity"":""10.24"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:12.565Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:49:41.609Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo Plus
zorgrand_dv140,ZorGrand,DV140,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/zor_grand_dv.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/zor-grand/zor-grand-2025.pdf"",""brochurespecs"":{""range"":""100"",""battery_capacity"":""10.24"",""co2_emission_factor"":""131.61""}}",,"""2025-06-25T12:04:13.948Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:53:10.337Z""",e2500964-be53-4d5f-964c-c05804593f91,Zor Grand
zorgrand_dv170,ZorGrand,DV170,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/zor_grand_dv.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/zor-grand/zor-grand-2025.pdf"",""brochurespecs"":{""range"":""100"",""battery_capacity"":""10.24"",""co2_emission_factor"":""131.61""}}",,"""2025-06-25T12:04:14.014Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:53:21.346Z""",e2500964-be53-4d5f-964c-c05804593f91,Zor Grand
zeo_w6,Zeo,W6,zeo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/zeo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/zeo_dv.png"",""modelmanual"":"""",""brochurespecs"":{""range"":""232"",""battery_capacity"":""21.3"",""co2_emission_factor"":""129""}}",,"""2025-06-25T12:04:10.362Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:42:38.501Z""",e2500964-be53-4d5f-964c-c05804593f91,Mahindra Zeo
zeo_wd,Zeo,WD,zeo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/zeo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/zeo_dv.png"",""modelmanual"":"""",""brochurespecs"":{""range"":""232"",""battery_capacity"":""21.3"",""co2_emission_factor"":""129""}}",,"""2025-06-25T12:04:10.450Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:42:47.602Z""",e2500964-be53-4d5f-964c-c05804593f91,Mahindra Zeo
treo2_163ah_default,Treo2_163ah,default,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf"",""brochurespecs"":{""range"":""136"",""battery_capacity"":""8.34"",""co2_emission_factor"":""94.82""}}",,"""2025-06-25T12:04:11.949Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:49:07.294Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo
treo2_163ah_hrt,Treo2_163ah,HRT,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf"",""brochurespecs"":{""range"":""136"",""battery_capacity"":""8.34"",""co2_emission_factor"":""94.82""}}",,"""2025-06-25T12:04:12.152Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:49:13.357Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo
treo2_163ah_p2,Treo2_163ah,P2,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf"",""brochurespecs"":{""range"":""136"",""battery_capacity"":""8.34"",""co2_emission_factor"":""94.82""}}",,"""2025-06-25T12:04:12.382Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:49:19.363Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo
