citycode,cityname
KHATIMA,KHATIMA
MALDA,MALDA
SILIGURI,SILIGURI
SITARGANJ,SITARGANJ
BUDAUN,BUDAUN
ANGUL,ANGUL
PINDWARA,PINDWARA
MEERUT,MEERUT
DEORIA,DEORIA
BUNDI,BUNDI
PHULPUR,PHULPUR
ERNAD,ERNAD
LAKHISARAI,LAKHISARAI
GWALIOR,GWALIOR
SAHARSA,SAHARSA
NAVSARI,NAVSARI
KASHIPUR,KASHIPUR
GODHRA,GODHRA
TIRUPATI URBAN,TIRUPATI URBAN
ROURKELA STEEL CITY,ROURKELA STEEL CITY
NEEMUCH,NEEMUCH
GANGANAGAR,GANGANAGAR
BHANDARA,BHANDARA
AMALAPURAM,AMALAPURAM
NAWABGANJ,NAWABGANJ
DUNGARPUR,DUNGARPUR
DEHRADUN,DEHRADUN
BENGALURU,BENGALURU
BUXAR,BUXAR
ROHTAK,ROHTAK
BALAPUR,BALAPUR
KOLHAPUR,KOLHAPUR
HATHRAS,HATHRAS
MANA CAMP,MANA CAMP
BALESHWAR,BALESHWAR
NEW DELHI,NEW DELHI
KHANDWA,KHANDWA
KALYAN,KALYAN
VARANASI,VARANASI
DUMKA,DUMKA
SOLAPUR,SOLAPUR
SAMBHAL,SAMBHAL
KAMRUP METROPOLITAN,KAMRUP METROPOLITAN
DERA BASSI,DERA BASSI
KUSHINAGAR,KUSHINAGAR
UDALGURI,UDALGURI
BIHAR,BIHAR
MALAPPURAM,MALAPPURAM
AMBATTUR,AMBATTUR
BALODA BAZAR,BALODA BAZAR
GULBARGA,GULBARGA
CHANDRAPUR,CHANDRAPUR
AURANGABAD,AURANGABAD
SIKAR,SIKAR
KUDAL,KUDAL
THODUPUZHA,THODUPUZHA
RANBIRSINGH PORA,RANBIRSINGH PORA
HOSPET,HOSPET
ERODE,ERODE
GHAZIABAD,GHAZIABAD
SONIPAT,SONIPAT
MAHRAJGANJ,MAHRAJGANJ
CHHARAH,CHHARAH
GORAKHPUR,GORAKHPUR
JIND,JIND
HOWRAH,HOWRAH
BEGUSARAI,BEGUSARAI
VIKASNAGAR,VIKASNAGAR
BAHADURGARH,BAHADURGARH
HARIDWAR,HARIDWAR
LAKSHMIPUR,LAKSHMIPUR
BALANGIR,BALANGIR
CHINTAMANI,CHINTAMANI
SHIMOGA,SHIMOGA
DAVANAGERE,DAVANAGERE
DINDIGUL,DINDIGUL
BAHRAICH,BAHRAICH
THRISSUR,THRISSUR
WARDHA,WARDHA
KALOL,KALOL
LOHARDAGA,LOHARDAGA
DADARA,DADARA
KANCHIPURAM,KANCHIPURAM
BILASPUR,BILASPUR
BALLIA,BALLIA
BHOPAL,BHOPAL
VILLUPURAM,VILLUPURAM
KURNOOL,KURNOOL
KARVEER,KARVEER
SILAO,SILAO
TARIGAM,TARIGAM
BASTI,BASTI
PURI,PURI
BHUBANESWAR,BHUBANESWAR
TINSUKIA,TINSUKIA
PURANI TANGLA,PURANI TANGLA
SITAPUR,SITAPUR
JORHAT,JORHAT
SIDHPUR,SIDHPUR
RAIGARH,RAIGARH
NALAGARH,NALAGARH
BIKANER,BIKANER
JANSATH,JANSATH
BANDARBAN,BANDARBAN
